rank,id,title,rating,rating_count,comprehensive_score,kind,url,source_doulist_ids,source_doulists,crawled_at
22,1296141,控方证人 Witness for the Prosecution,9.6,756234,96.106354,电影,https://movie.douban.com/subject/1296141/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
23,3319755,怦然心动 Flipped,9.1,2067546,95.976362,电影,https://movie.douban.com/subject/3319755/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
24,20495023,寻梦环游记 Coco,9.1,2014025,95.803262,动画电影 / 电影,https://movie.douban.com/subject/20495023/,223781 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分动画长片,2026-08-09T16:52:13+08:00
25,6786002,触不可及 Intouchables,9.3,1308102,95.771797,电影,https://movie.douban.com/subject/6786002/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
26,26752088,我不是药神,9.0,2368674,95.405966,电影,https://movie.douban.com/subject/26752088/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
27,3882715,武林外传,9.6,672448,95.272628,国产剧 / 电视剧,https://movie.douban.com/subject/3882715/,146202362 / 172901 / 46375658 / 644440,9分电视剧 / 豆瓣五星电视剧（1/2） / 豆瓣电视剧排行榜 / 豆瓣高分国产剧,2026-08-09T16:52:13+08:00
28,1295038,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,9.2,1438748,95.001202,电影,https://movie.douban.com/subject/1295038/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
29,1291560,龙猫 となりのトトロ,9.2,1422257,94.923963,动画电影 / 电影,https://movie.douban.com/subject/1291560/,223781 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分动画长片,2026-08-09T16:52:13+08:00
30,25754848,琅琊榜,9.4,940169,94.901323,国产剧 / 电视剧,https://movie.douban.com/subject/25754848/,146202362 / 46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜 / 豆瓣高分国产剧,2026-08-09T16:52:13+08:00
31,4922787,后宫·甄嬛传,9.4,932284,94.84321,国产剧 / 电视剧,https://movie.douban.com/subject/4922787/,146202362 / 430230 / 46375658,豆瓣五星电视剧（2/2） / 豆瓣电视剧排行榜 / 豆瓣高分国产剧,2026-08-09T16:52:13+08:00
